dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
english-16k,zstd-6,262144,10018,3.821564,26.167299,514.622381,5539.658778,99.941357,99.906727,1.940352,0.179615,32.085000,4.616000
english-16k,zstd-9,262144,10018,3.821564,26.167299,430.393184,5535.921395,99.805459,99.903630,2.318646,0.180448,38.172000,2.853000
english-16k,snappy-1,262144,27697,10.565567,9.464707,1425.656050,7944.115225,99.887049,99.902338,0.700844,0.125675,10.544000,2.082000
english-16k,snappy-2,262144,27352,10.433960,9.584089,1279.862802,8023.796609,99.827756,99.945340,0.780817,0.124451,11.635000,2.133000
english-16k,lz4-fast,262144,23794,9.076691,11.017231,6610.048046,26667.718626,99.843565,99.926849,0.150881,0.037478,2.393000,0.611000
english-16k,lz4-hc9,262144,23177,8.841324,11.310523,794.447022,27039.145975,99.946386,99.883738,1.258233,0.036952,20.108000,0.611000
mixed-chinese-english-16k,none-copy,262144,262144,100.000000,1.000000,103677.673984,104322.963182,99.915104,99.889709,0.009624,0.009478,0.200000,0.200000
mixed-chinese-english-16k,zstd-fast3,262144,28150,10.738373,9.312398,1944.911330,5176.086257,99.839326,99.685082,0.513555,0.191967,8.341000,3.155000
mixed-chinese-english-16k,zstd-1,262144,17864,6.814575,14.674429,1392.720185,3305.308731,99.864906,99.899066,0.717763,0.301930,12.347000,4.747000
mixed-chinese-english-16k,zstd-3,262144,17857,6.811905,14.680181,1350.484502,3329.241520,99.790218,99.883148,0.737986,0.300159,11.977000,4.747000
mixed-chinese-english-16k,zstd-6,262144,15036,5.735779,17.434424,427.507714,4024.164041,99.848306,99.789374,2.335591,0.248353,40.176000,3.995000
mixed-chinese-english-16k,zstd-9,262144,15034,5.735016,17.436743,298.667737,4044.676191,99.927773,99.956313,3.311310,0.247131,56.478000,3.996000
mixed-chinese-english-16k,snappy-1,262144,38345,14.627457,6.836458,1335.789639,6059.942325,99.858450,99.879089,0.748020,0.164660,11.496000,2.733000
mixed-chinese-english-16k,snappy-2,262144,38033,14.508438,6.892541,1164.964361,6208.673287,99.900716,99.912845,0.851222,0.160800,13.379000,2.754000
mixed-chinese-english-16k,lz4-fast,262144,35153,13.409805,7.457230,4287.080581,17053.320538,99.885228,99.922197,0.232991,0.058613,3.745000,0.942000
mixed-chinese-english-16k,lz4-hc9,262144,32623,12.444687,8.035558,661.813184,20441.948404,99.950808,99.895376,1.510823,0.048851,25.846000,0.791000
structured-logs-4k,none-copy,65536,65536,100.000000,1.000000,78575.553615,82896.026007,99.904231,99.938868,0.012714,0.012059,0.070000,0.061000
structured-logs-4k,zstd-fast3,65536,10536,16.076660,6.220197,1390.726390,3314.357460,99.909674,99.770274,0.718886,0.295827,2.914000,1.211000
structured-logs-4k,zstd-1,65536,6659,10.160828,9.841718,919.016067,1964.818433,99.868691,99.937133,1.086658,0.508585,4.496000,2.103000
structured-logs-4k,zstd-3,65536,6872,10.485840,9.536671,869.798022,1929.100145,99.887584,99.900722,1.149156,0.517862,4.847000,2.113000
structured-logs-4k,zstd-6,65536,6556,10.003662,9.996339,337.466866,1967.490450,99.870056,99.863912,2.955951,0.507845,13.889000,2.103000
structured-logs-4k,zstd-9,65536,6640,10.131836,9.869880,275.960578,1986.552836,99.903144,99.921092,3.620196,0.502903,15.091000,2.073000
structured-logs-4k,snappy-1,65536,12982,19.808960,5.048221,4069.075484,3792.834364,99.906835,99.898357,0.245372,0.263469,1.052000,1.292000
structured-logs-4k,snappy-2,65536,12514,19.094849,5.237015,2795.711301,4032.143668,99.912261,99.875933,0.357285,0.247699,1.572000,1.142000
structured-logs-4k,lz4-fast,65536,13043,19.902039,5.024611,3130.384850,13144.115292,99.965280,99.724035,0.319079,0.075322,1.341000,0.331000
structured-logs-4k,lz4-hc9,65536,11546,17.617798,5.676078,503.458702,15676.493767,99.882041,99.897505,1.983917,0.063653,8.201000,0.271000
pseudorandom-4k,none-copy,65536,65536,100.000000,1.000000,80416.295017,83247.605244,99.855383,99.927213,0.012408,0.011996,0.070000,0.061000
pseudorandom-4k,zstd-fast3,65536,65696,100.244141,0.997565,5278.981682,59293.687853,99.862189,99.886132,0.189261,0.016855,0.771000,0.090000
pseudorandom-4k,zstd-1,65536,65696,100.244141,0.997565,2040.567779,63502.941698,99.882734,99.922995,0.489662,0.015728,1.912000,0.080000
pseudorandom-4k,zstd-3,65536,65696,100.244141,0.997565,1475.504325,59667.955313,99.918612,99.874895,0.677183,0.016739,2.654000,0.080000
pseudorandom-4k,zstd-6,65536,65696,100.244141,0.997565,621.514149,62878.911442,99.951202,99.921530,1.608429,0.015817,6.539000,0.110000
pseudorandom-4k,zstd-9,65536,65696,100.244141,0.997565,371.943912,62423.923415,99.887322,99.876288,2.685315,0.016010,10.685000,0.080000
