dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
pseudorandom-96k,lz4-hc9,1572864,1579044,100.392914,0.996086,43.729096,20388.319044,99.807290,99.723213,22.781714,0.048908,2700.482000,8.511000
repo-png-16k,none-copy,1061714,1061714,100.000000,1.000000,32980.616105,30472.274648,99.771743,99.706887,0.030252,0.032699,1.791000,1.811000
repo-png-16k,zstd-fast3,1061714,1049614,98.860333,1.011528,3664.154574,24860.568856,99.780663,99.694965,0.270665,0.040145,6.167000,2.091000
repo-png-16k,zstd-1,1061714,1048765,98.780368,1.012347,1302.640520,20281.808029,99.746260,99.717615,0.766466,0.049210,17.034000,1.916000
repo-png-16k,zstd-3,1061714,1048651,98.769631,1.012457,1037.132246,18366.584129,99.556786,99.792412,0.962108,0.054334,24.353000,2.127000
repo-png-16k,zstd-6,1061714,1048556,98.760683,1.012549,541.558471,18257.436039,99.738873,99.757785,1.841701,0.054557,42.811000,2.138000
repo-png-16k,zstd-9,1061714,1048557,98.760777,1.012548,237.090000,19513.174240,99.681497,99.749654,4.204374,0.051070,103.580000,2.027000
repo-png-16k,snappy-1,1061714,1049898,98.887083,1.011254,656.655843,21556.799248,99.794352,99.768271,1.519370,0.046282,33.948000,1.952000
repo-png-16k,snappy-2,1061714,1049469,98.846676,1.011668,483.458817,24227.604636,99.721903,99.743166,2.062695,0.041169,48.745000,1.910000
repo-png-16k,lz4-fast,1061714,1053034,99.182454,1.008243,5264.607008,26171.772678,99.738834,99.738248,0.189645,0.038066,4.210000,1.933000
repo-png-16k,lz4-hc9,1061714,1052747,99.155422,1.008518,92.540540,23875.754331,99.775710,99.683276,10.769495,0.041794,279.251000,1.922000
